COD. UF;COD. MUNIC;POPULAÇÃO ESTIMADA;;;;;;
15;04802;63641;;;;;;
15;04901;48955;;;;;;
15;04950;21259;;;;;;
15;04976;14417;;;;;;
15;05007;13204;;;;;;
15;05031;36518;;;;;;
15;05064;63754;;;;;;
15;05106;55271;;;;;;
15;05205;36377;;;;;;
15;05304;72460;;;;;;
15;05403;18675;;;;;;
15;05437;34905;;;;;;
15;05486;43594;;;;;;
15;05494;7086;;;;;;
15;05502;112843;;;;;;
15;05536;298854;;;;;;
15;05551;7296;;;;;;
15;05601;8651;;;;;;
15;05635;13341;;;;;;
15;05650;18772;;;;;;
15;05700;25767;;;;;;
15;05809;66898;;;;;;
15;05908;43673;;;;;;
15;06005;38318;;;;;;
15;06104;11332;;;;;;
15;06112;11870;;;;;;
15;06138;91947;;;;;;
15;06161;19129;;;;;;
15;06187;56593;;;;;;
15;06195;37360;;;;;;
15;06203;48168;;;;;;
15;06302;25441;;;;;;
15;06351;22288;;;;;;
15;06401;7654;;;;;;
15;06500;78317;;;;;;
15;06559;21217;;;;;;
15;06583;17079;;;;;;
15;06609;25696;;;;;;
15;06708;31683;;;;;;
15;06807;357311;;;;;;
15;06906;6348;;;;;;
15;07003;29134;;;;;;
15;07102;17248;;;;;;
15;07151;21638;;;;;;
15;07201;32449;;;;;;
15;07300;65957;;;;;;
15;07409;15418;;;;;;
15;07458;24978;;;;;;
15;07466;4509;;;;;;
15;07474;21447;;;;;;
15;07508;14246;;;;;;
15;07607;55798;;;;;;
15;07706;27441;;;;;;
15;07755;6160;;;;;;
15;07805;24441;;;;;;
15;07904;25218;;;;;;
15;07953;75526;;;;;;
15;07961;10815;;;;;;
15;07979;19667;;;;;;
15;08001;72326;;;;;;
15;08035;30373;;;;;;
15;08050;15619;;;;;;
15;08084;42480;;;;;;
15;08100;96238;;;;;;
15;08126;39576;;;;;;
15;08159;45939;;;;;;
15;08209;53806;;;;;;
15;08308;61970;;;;;;
15;08357;16414;;;;;;
15;08407;56999;;;;;;
16;00055;4986;;;;;;
16;00105;8434;;;;;;
16;00154;13798;;;;;;
16;00204;11391;;;;;;
16;00212;4725;;;;;;
16;00238;7145;;;;;;
16;00253;6043;;;;;;
16;00279;37969;;;;;;
16;00303;487200;;;;;;
16;00402;23575;;;;;;
16;00501;30481;;;;;;
16;00535;18988;;;;;;
16;00550;4042;;;;;;
16;00600;118353;;;;;;
16;00709;13785;;;;;;
16;00808;11922;;;;;;
17;00251;2668;;;;;;
17;00301;4537;;;;;;
17;00350;5222;;;;;;
17;00400;6542;;;;;;
17;00707;9094;;;;;;
17;01002;10662;;;;;;
17;01051;2918;;;;;;
17;01101;5067;;;;;;
17;01309;5360;;;;;;
17;01903;6039;;;;;;
17;02000;8273;;;;;;
17;02109;181493;;;;;;
17;02158;4338;;;;;;
17;02208;33205;;;;;;
17;02307;5553;;;;;;
17;02406;10522;;;;;;
17;02554;18128;;;;;;
17;02703;3420;;;;;;
17;02901;10663;;;;;;
17;03008;7779;;;;;;
17;03057;3534;;;;;;
17;03073;4641;;;;;;
17;03107;4915;;;;;;
17;03206;4316;;;;;;
17;03305;4181;;;;;;
17;03602;2016;;;;;;
17;03701;4796;;;;;;
17;03800;10654;;;;;;
17;03826;1991;;;;;;
17;03842;8951;;;;;;
17;03867;4147;;;;;;
17;03883;2246;;;;;;
17;03891;3362;;;;;;
17;03909;5009;;;;;;
17;04105;2135;;;;;;
17;04600;1563;;;;;;
17;05102;3182;;;;;;
17;05508;35957;;;;;;
17;05557;4896;;;;;;
17;05607;3956;;;;;;
17;06001;5515;;;;;;
17;06100;6437;;;;;;
17;06258;1499;;;;;;
17;06506;6054;;;;;;
17;07009;18031;;;;;;
